City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,North Bend,US,43.4065,-124.2243,45.95,99,100,1.01,overcast clouds
212,Lagoa,PT,39.05,-27.9833,58.06,69,90,18.54,overcast clouds
213,Souillac,MU,-20.5167,57.5167,81.36,88,95,9.95,moderate rain
214,Tasiilaq,GL,65.6145,-37.6368,30.36,90,100,26.26,snow
215,Kirakira,SB,-10.4544,161.9205,80.69,83,99,6.4,overcast clouds
216,Bilma,NE,18.6853,12.9164,92.19,6,51,5.66,broken clouds
217,Saint-Augustin,CA,51.226,-58.6502,19.45,71,30,11.1,scattered clouds
218,Lamu,KE,-2.2717,40.902,80.82,83,66,15.23,broken clouds
219,Kanzaki,JP,33.3,130.3667,41.97,30,1,0.85,clear sky
220,Port Hueneme,US,34.1478,-119.1951,62.87,58,0,6.91,mist
221,Tuatapere,NZ,-46.1333,167.6833,58.82,93,100,1.43,overcast clouds
222,Severobaykalsk,RU,55.65,109.3167,1.09,82,80,7.07,broken clouds
223,Camacha,PT,33.0833,-16.3333,64.53,94,75,21.85,light intensity drizzle
224,Bengkulu,ID,-3.8004,102.2655,75.38,94,100,8.72,moderate rain
225,Whitehorse,CA,60.7161,-135.0538,5.09,99,94,3.22,overcast clouds
226,Alice Springs,AU,-23.7,133.8833,87.35,23,42,10.36,scattered clouds
227,Roald,NO,62.5833,6.1333,42.94,56,0,4.61,clear sky
228,Santana,BR,-0.0583,-51.1817,86.47,63,57,5.5,broken clouds
229,Touros,BR,-5.1989,-35.4608,90.5,60,100,10.63,overcast clouds
230,Lata,PT,40.1629,-8.3327,55.92,71,17,17.2,few clouds
231,Tilichiki,RU,60.4667,166.1,1.06,91,81,9.95,broken clouds
232,Biak,ID,-0.9131,122.8766,77.43,81,99,2.28,overcast clouds
233,Kunigal,IN,13.0222,77.0267,73.02,39,87,10.2,overcast clouds
234,Horki,BY,54.2861,30.9842,22.8,96,62,4.34,broken clouds
235,Gamboma,CG,-1.8764,15.8644,89.85,47,69,7.23,broken clouds
236,Fort Nelson,CA,58.8053,-122.7002,8.19,85,100,2.3,light snow
237,Greer,US,34.9387,-82.2271,76.33,31,0,8.05,clear sky
238,Natal,BR,-5.795,-35.2094,90.25,58,40,12.66,light rain
239,Solnechnyy,RU,50.7214,136.6319,-0.06,93,14,4.32,few clouds
240,Sidney,AU,-33.8679,151.2073,71.64,93,75,24.16,light intensity shower rain
241,Kindu,CD,-2.95,25.95,80.73,71,11,2.33,few clouds
242,Quatre Cocos,MU,-20.2078,57.7625,81.09,86,42,10.13,light rain
243,Chabahar,IR,25.2919,60.643,73.53,65,0,4.47,clear sky
244,Chokurdakh,RU,70.6333,147.9167,-11.31,98,98,3.62,overcast clouds
245,Lukovetskiy,RU,64.2956,41.9211,31.98,98,100,2.66,overcast clouds
246,Kitimat,CA,54.0524,-128.6534,37.78,31,100,0.85,overcast clouds
247,Khalilabad,IN,26.775,83.0736,66.79,41,0,7.11,clear sky
248,Iwanai,JP,42.9744,140.5089,28.71,73,100,9.86,overcast clouds
249,Eitorf,DE,50.7667,7.45,56.39,48,0,6.71,clear sky
250,Atar,MR,20.5169,-13.0499,86.11,10,0,20.0,clear sky
251,Mount Gambier,AU,-37.8333,140.7667,69.49,65,100,4.38,overcast clouds
252,Husavik,IS,66.0449,-17.3389,35.22,84,100,5.39,light snow
253,Vila Velha,BR,-20.3297,-40.2925,89.55,66,20,12.66,few clouds
254,Nusaybin,TR,37.0778,41.2178,52.34,83,92,15.79,light rain
255,Goroka,PG,-6.0834,145.3873,62.31,99,100,1.52,overcast clouds
256,Bandarbeyla,SO,9.4942,50.8122,77.07,68,40,15.46,scattered clouds
257,Viedma,AR,-40.8135,-62.9967,83.7,21,91,19.42,overcast clouds
258,Provideniya,RU,64.3833,-173.3,9.82,94,70,10.11,broken clouds
259,Chuy,UY,-33.6971,-53.4616,76.96,45,0,8.68,clear sky
260,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,77.16,73,86,8.57,overcast clouds
261,Rorvik,NO,64.8621,11.2373,37.51,65,75,5.75,broken clouds
262,Mahebourg,MU,-20.4081,57.7,81.25,86,75,11.41,light rain
263,General Roca,AR,-39.0333,-67.5833,86.49,27,23,17.0,few clouds
264,Urucui,BR,-7.2294,-44.5561,90.34,48,63,6.44,broken clouds
265,Pangoa,PE,-12.1167,-73.0,86.11,51,47,3.74,scattered clouds
266,Luderitz,NA,-26.6481,15.1594,70.27,70,4,11.65,clear sky
267,Omsukchan,RU,62.5333,155.8,-16.91,100,93,4.45,overcast clouds
268,Grand-Santi,GF,4.25,-54.3833,76.19,88,100,2.64,overcast clouds
269,Damietta,EG,31.4165,31.8133,58.15,59,7,19.64,clear sky
270,Rio Grande,BR,-32.035,-52.0986,87.91,60,0,10.04,clear sky
271,Bellefontaine,US,40.3612,-83.7597,33.96,77,93,10.78,overcast clouds
272,Cherdyn,RU,60.403,56.4787,28.33,97,100,4.7,overcast clouds
273,Chancay,PE,-11.5714,-77.2672,78.67,74,100,5.06,overcast clouds
274,Egvekinot,RU,66.3167,-179.1667,-1.5,91,24,9.28,few clouds
275,Saint Anthony,US,45.0205,-93.218,20.79,49,0,8.05,clear sky
276,Corigliano Calabro,IT,39.595,16.5177,50.18,64,100,0.49,overcast clouds
277,Iwaki,JP,37.05,140.8833,36.77,59,3,1.99,clear sky
278,Faanui,PF,-16.4833,-151.75,81.36,74,15,13.35,light rain
279,Kalemie,CD,-5.9475,29.1947,75.61,81,62,3.11,broken clouds
280,Tarata,BO,-17.6167,-66.0167,72.82,51,66,3.51,broken clouds
281,Coihaique,CL,-45.5752,-72.0662,60.75,48,75,9.22,broken clouds
282,Dawlatabad,AF,36.4141,64.9053,61.38,39,45,10.31,scattered clouds
283,Minsk,BY,53.9,27.5667,35.35,84,100,5.53,overcast clouds
284,Kayes,ML,14.0,-11.0,99.23,12,22,9.51,few clouds
285,Muravlenko,RU,63.7898,74.523,24.84,96,100,15.17,light snow
286,Bodden Town,KY,19.2833,-81.25,82.4,69,20,8.05,few clouds
287,Chifeng,CN,42.2683,118.9636,35.17,34,1,13.82,clear sky
288,Jizan,SA,17.3333,42.6667,83.05,60,0,7.94,clear sky
289,Thompson,CA,55.7435,-97.8558,-0.2,79,6,9.84,clear sky
290,Tagab,AF,34.855,69.6492,51.94,34,22,4.79,few clouds
291,Selenginsk,RU,52.0064,106.8647,12.61,92,75,10.94,broken clouds
292,Muswellbrook,AU,-32.2667,150.9,70.32,97,100,4.68,light rain
293,Tifton,US,31.4505,-83.5085,75.29,30,0,4.61,clear sky
294,Alyangula,AU,-13.8483,136.4192,84.34,78,38,14.85,scattered clouds
295,Cairns,AU,-16.9167,145.7667,83.07,96,75,2.3,broken clouds
296,Aripuana,BR,-9.1667,-60.6333,90.19,54,95,2.39,overcast clouds
297,Xai-Xai,MZ,-25.0519,33.6442,77.5,69,0,11.16,clear sky
298,Sterling,US,39.0062,-77.4286,53.74,50,40,12.66,scattered clouds
299,Pangai,TO,-19.8,-174.35,81.59,74,93,5.93,overcast clouds
300,Lasa,IT,46.6166,10.7002,51.71,80,51,4.23,broken clouds
301,Fortuna,US,40.5982,-124.1573,49.42,95,100,8.05,overcast clouds
302,Torbay,CA,47.6666,-52.7314,34.39,77,68,5.99,light rain
303,Vestmanna,FO,62.1564,-7.1664,43.72,93,100,19.57,overcast clouds
304,Zelenogorskiy,RU,55.0333,87.0,19.92,95,100,8.68,light snow
305,Pitimbu,BR,-7.4706,-34.8086,90.19,63,37,9.44,scattered clouds
306,Grand Gaube,MU,-20.0064,57.6608,81.37,86,77,4.0,broken clouds
307,Tomatlan,MX,19.9333,-105.25,80.71,45,0,0.74,clear sky
308,Varhaug,NO,58.6147,5.6457,47.75,71,0,16.93,clear sky
309,Komsomolskiy,UZ,40.4272,71.7189,51.22,40,69,4.61,broken clouds
310,Meulaboh,ID,4.1363,96.1285,79.57,81,99,3.29,heavy intensity rain
311,Camden,US,39.7835,-74.9663,48.58,48,100,4.0,overcast clouds
312,Lorengau,PG,-2.0226,147.2712,80.55,82,62,4.21,broken clouds
313,Mount Pleasant,US,32.7941,-79.8626,77.99,35,0,8.05,clear sky
314,Vilhena,BR,-12.7406,-60.1458,73.81,88,100,3.98,overcast clouds
315,Krasnoselkup,RU,65.7,82.4667,-1.5,97,99,7.65,overcast clouds
316,Yukamenskoye,RU,57.8865,52.2416,15.1,99,80,5.77,broken clouds
317,Grindavik,IS,63.8424,-22.4338,36.07,87,75,8.05,broken clouds
318,Boa Vista,BR,2.8197,-60.6733,78.78,78,75,13.8,broken clouds
319,Sayat,TM,38.7839,63.8803,58.87,35,3,10.04,clear sky
320,Awbari,LY,26.5921,12.7805,70.3,22,100,15.57,overcast clouds
321,Clarksburg,US,39.2807,-80.3445,44.78,72,100,11.5,overcast clouds
322,Aleksandrovskoye,RU,44.7142,43.0008,41.14,85,92,10.11,overcast clouds
