City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
240,Sidney,AU,71.64,light intensity shower rain,-33.8679,151.2073,The Grace Sydney
241,Kindu,CD,80.73,few clouds,-2.95,25.95,Résidence Okanda
242,Quatre Cocos,MU,81.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
243,Chabahar,IR,73.53,clear sky,25.2919,60.643,هتل گدروشیا
247,Khalilabad,IN,66.79,clear sky,26.775,83.0736,Afroz tea sthal अफरोज टी स्टाल
249,Eitorf,DE,56.39,clear sky,50.7667,7.45,Gut Heckenhof Hotel & Golfresort an der Sieg GmbH & Co.KG
250,Atar,MR,86.11,clear sky,20.5169,-13.0499,Oumou Elghoura
251,Mount Gambier,AU,69.49,overcast clouds,-37.8333,140.7667,The Commodore
253,Vila Velha,BR,89.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
254,Nusaybin,TR,52.34,light rain,37.0778,41.2178,Aydinlar Hotel
255,Goroka,PG,62.31,overcast clouds,-6.0834,145.3873,Bird of Paradise Hotel & Apartments
256,Bandarbeyla,SO,77.07,scattered clouds,9.4942,50.8122,JABIR HOTEL
257,Viedma,AR,83.7,overcast clouds,-40.8135,-62.9967,Hotel Cristal
259,Chuy,UY,76.96,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
260,Sao Miguel Do Araguaia,BR,77.16,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
262,Mahebourg,MU,81.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
263,General Roca,AR,86.49,few clouds,-39.0333,-67.5833,Hotel El Recreo
264,Urucui,BR,90.34,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
265,Pangoa,PE,86.11,scattered clouds,-12.1167,-73.0,
268,Grand-Santi,GF,76.19,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
269,Damietta,EG,58.15,clear sky,31.4165,31.8133,SULIMAN INN
270,Rio Grande,BR,87.91,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
273,Chancay,PE,78.67,overcast clouds,-11.5714,-77.2672,Hotel Madre Perla
276,Corigliano Calabro,IT,50.18,overcast clouds,39.595,16.5177,Palazzo Castriota
278,Faanui,PF,81.36,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
279,Kalemie,CD,75.61,broken clouds,-5.9475,29.1947,Mahobilali
280,Tarata,BO,72.82,broken clouds,-17.6167,-66.0167,Hacienda castillo
281,Coihaique,CL,60.75,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
282,Dawlatabad,AF,61.38,scattered clouds,36.4141,64.9053,WASIM ASGAR KHAN
284,Kayes,ML,99.23,few clouds,14.0,-11.0,
286,Bodden Town,KY,82.4,few clouds,19.2833,-81.25,Will T Place
288,Jizan,SA,83.05,clear sky,17.3333,42.6667,شهدان. ابوالحجر
290,Tagab,AF,51.94,few clouds,34.855,69.6492,
292,Muswellbrook,AU,70.32,light rain,-32.2667,150.9,Wayfarer Motel
293,Tifton,US,75.29,clear sky,31.4505,-83.5085,Hilton Garden Inn Tifton
294,Alyangula,AU,84.34,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
295,Cairns,AU,83.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
296,Aripuana,BR,90.19,overcast clouds,-9.1667,-60.6333,
297,Xai-Xai,MZ,77.5,clear sky,-25.0519,33.6442,Complexo da Familia
298,Sterling,US,53.74,scattered clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
299,Pangai,TO,81.59,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
300,Lasa,IT,51.71,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
301,Fortuna,US,49.42,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
303,Vestmanna,FO,43.72,overcast clouds,62.1564,-7.1664,Vestmanna Camping
305,Pitimbu,BR,90.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
306,Grand Gaube,MU,81.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
307,Tomatlan,MX,80.71,clear sky,19.9333,-105.25,El Salvial
308,Varhaug,NO,47.75,clear sky,58.6147,5.6457,Jonas Bue
309,Komsomolskiy,UZ,51.22,broken clouds,40.4272,71.7189,Ikathouse
310,Meulaboh,ID,79.57,heavy intensity rain,4.1363,96.1285,Kost Pria
311,Camden,US,48.58,overcast clouds,39.7835,-74.9663,Shenandoah Village
312,Lorengau,PG,80.55,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
313,Mount Pleasant,US,77.99,clear sky,32.7941,-79.8626,Best Western Patriots Point
314,Vilhena,BR,73.81,overcast clouds,-12.7406,-60.1458,Hotel Mirage
318,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
319,Sayat,TM,58.87,clear sky,38.7839,63.8803,
320,Awbari,LY,70.3,overcast clouds,26.5921,12.7805,فندق أوباري
