City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Lerwick,GB,2022-02-27 16:44:55,60.1545,-1.1494,43.16,82,99,30.04
252,Atotonilco El Alto,MX,2022-02-27 16:44:55,20.55,-102.5167,79.79,27,4,2.95
253,Half Moon Bay,US,2022-02-27 16:44:56,37.4636,-122.4286,54.36,50,19,5.08
254,Guarizama,HN,2022-02-27 16:44:56,14.9167,-86.3333,84.42,37,15,4.41
255,Mabaruma,GY,2022-02-27 16:44:56,8.2,-59.7833,80.08,84,64,6.04
256,Pevek,RU,2022-02-27 16:44:56,69.7008,170.3133,-12.03,100,100,2.21
257,Odienne,CI,2022-02-27 16:44:57,9.51,-7.5692,90.54,31,89,1.95
258,Nicoya,CR,2022-02-27 16:44:57,10.1483,-85.452,92.5,29,3,13.94
259,San Vicente,AR,2022-02-27 16:44:57,-26.6167,-54.1333,97.11,29,6,6.17
260,Prince Rupert,CA,2022-02-27 16:44:57,54.3161,-130.3201,39.97,94,100,8.34
261,Asau,RO,2022-02-27 16:44:58,46.4333,26.4,33.42,76,100,6.06
262,Varginha,BR,2022-02-27 16:44:58,-21.5514,-45.4303,80.1,65,37,1.74
263,Champerico,GT,2022-02-27 16:44:58,14.3,-91.9167,84.38,60,2,7.96
264,Peniche,PT,2022-02-27 16:44:58,39.3558,-9.3811,56.77,74,7,10.04
265,Novobelokatay,RU,2022-02-27 16:44:59,55.7062,58.9549,32.13,99,100,1.79
266,Iskateley,RU,2022-02-27 16:44:59,67.6803,53.1512,21.85,92,100,28.45
267,Itarema,BR,2022-02-27 16:44:59,-2.9248,-39.9167,87.85,57,55,17.13
268,Mathbaria,BD,2022-02-27 16:45:00,22.2876,89.9593,71.55,57,0,5.48
269,Dingle,PH,2022-02-27 16:45:00,10.9995,122.6711,76.3,85,57,11.63
270,Mandalgovi,MN,2022-02-27 16:46:00,45.7625,106.2708,14.41,82,100,22.5
271,Santiago De Chuco,PE,2022-02-27 16:46:00,-8.15,-78.1833,62.22,56,71,4.07
272,Aden,YE,2022-02-27 16:46:01,12.7794,45.0367,78.62,75,7,9.53
273,La Seyne-Sur-Mer,FR,2022-02-27 16:46:01,43.0982,5.8847,53.56,58,31,1.99
274,Zabol,AF,2022-02-27 16:46:01,32.25,67.25,51.39,31,100,5.08
275,Tupik,RU,2022-02-27 16:46:01,54.4253,119.9327,-12.06,96,58,1.79
276,Ondjiva,AO,2022-02-27 16:46:02,-17.0667,15.7333,79.74,46,80,4.52
277,Shinpokh,PK,2022-02-27 16:46:03,34.3292,71.1782,58.1,35,10,2.84
278,Tres Arroyos,AR,2022-02-27 16:42:01,-38.3739,-60.2798,83.3,20,88,13.11
279,Quatre Cocos,MU,2022-02-27 16:46:03,-20.2078,57.7625,79.25,82,19,6.33
280,Fuxin,CN,2022-02-27 16:46:03,42.0156,121.6589,30.87,42,55,2.04
281,Torbay,CA,2022-02-27 16:45:18,47.6666,-52.7314,29.88,67,75,16.11
282,Pimentel,PE,2022-02-27 16:46:04,-6.8367,-79.9342,77.29,69,0,5.75
283,Port Lincoln,AU,2022-02-27 16:45:18,-34.7333,135.8667,63.54,92,98,9.82
284,Teguldet,RU,2022-02-27 16:46:04,57.3064,88.1667,22.57,87,100,14.61
285,Umm Kaddadah,SD,2022-02-27 16:46:04,13.6017,26.6876,75.49,12,63,12.06
286,Iralaya,HN,2022-02-27 16:46:05,15.0,-83.2333,79.14,72,48,5.84
287,Tazovskiy,RU,2022-02-27 16:46:05,67.4667,78.7,8.1,89,100,23.8
288,Disna,BY,2022-02-27 16:46:05,55.568,28.1971,26.8,86,97,4.97
289,Gimli,CA,2022-02-27 16:46:05,50.6336,-96.9907,6.22,83,100,7.96
290,Taoudenni,ML,2022-02-27 16:46:06,22.6783,-3.9836,92.03,7,100,6.69
291,Lyantonde,UG,2022-02-27 16:46:06,-0.4031,31.1572,70.3,68,70,6.8
292,Buin,CL,2022-02-27 16:46:07,-33.7333,-70.75,79.05,25,0,3.91
293,Nizhnyaya Omka,RU,2022-02-27 16:46:07,55.4338,74.9426,11.62,92,50,9.44
